sort_order,label,href_es,href_en,title_es,blurb_es,title_en,blurb_en,placeholder

1,D1-1,,,Bienvenida y presentaciones,Objetivos del taller y presentación del equipo docente.,Welcome & introductions,Workshop goals and teaching team introductions.,TRUE

2,D1-2,,slides/Design_Talk_1.pdf,Charla de diseño 1: ¿Por qué un experimento?,Ejemplo de un estudio real: cumplimiento de pagos y cobro diferido de deudas.,Design talk 1: Why an experiment?,Example from a real study: payment compliance and deferred debt enforcement.,FALSE

3,D1-3,,,Experimento en clase,Aleatorización en vivo; los resultados se publican después de la sesión.,In-class experiment,Live randomization demo; results posted after the session.,TRUE

4,D1-4,slides/1.1-Teoria-reveal-T-e-Y.pdf,,Teoría en el diseño experimental,"Tratamientos, resultados y la teoría del cambio.",Theory in experimental design,"Treatments, outcomes, and the theory of change.",FALSE

5,D1-5,slides/1.2-Inferencia_causal.pdf,,Inferencia causal,Resultados potenciales y el efecto promedio del tratamiento.,Causal inference,Potential outcomes and the average treatment effect.,FALSE

6,D1-6,slides/1.3-Fijar-T-medir-Y.pdf,,Taller: fijar T y medir Y,Cómo elegir un tratamiento aleatorizable y medir el resultado para evitar amenazas a la validez.,Workshop: fixing T and measuring Y,Choosing a randomizable treatment and outcome measures to avoid threats to validity.,FALSE

7,D1-7,r_sessions/TA-rsession1.pdf,,Sesión de R 1: Fundamentos,"Objetos, funciones y estadísticas básicas en R.",R session 1: Basics,"Objects, functions, and basic statistics in R.",FALSE

8,D2-1,,slides/2-1-randomization-slides.pdf,Aleatorización,"Diseños simples, por bloques, por conglomerados y de estímulo.",Randomization,"Simple, block, cluster, and encouragement designs.",FALSE

9,D2-2,r_sessions/activity2-randomization.R,r_sessions/activity2-randomization.R,Sesión de R: ¡A aleatorizar!,Práctica de aleatorización replicable en R.,R session: Randomize!,Hands-on replicable randomization in R.,FALSE

10,D2-3,slides/2-2-design-talk-2025.pdf,,Charla de diseño 2: El formulario de diseño,Recorrido de un estudio completo con el formulario de diseño.,Design talk 2: The research design form,Walking through a full study with the design form.,FALSE

11,D2-4,slides/2-3-HypothesisTesting_2025.pdf,,Prueba de hipótesis,"La prueba de Fisher de la hipótesis nula estricta, con ejercicio en R.",Hypothesis testing,"Fisher's test of the sharp null hypothesis, with an R exercise.",FALSE

12,D2-5,forms/formato-presentacion.pdf,,Formato de presentación,Plantilla para la presentación final del viernes.,Presentation template,Template for Friday's final presentation.,FALSE

13,D3-1,slides/3-1-estimation_slides.pdf,,Estimación e inferencia estadística,"Estimandos, estimadores, errores estándar e intervalos de confianza.",Estimation & statistical inference,"Estimands, estimators, standard errors, and confidence intervals.",FALSE

14,D3-2,slides/4-1-ethics-slides_sp.pdf,,Ética de los experimentos,"Consentimiento, riesgos y responsabilidad de quien investiga.",Ethics of experiments,"Consent, risk, and researcher responsibility.",FALSE

15,D3-3,,slides/3-3-power_slides.pdf,Poder estadístico,"Poder, tamaño de muestra y simulación, con ejercicio en R.",Statistical power,"Power, sample size, and simulation, with an R exercise.",FALSE

16,D4-1,slides/1-3-threats.pdf,,Amenazas a la validez,"Deserción, incumplimiento, derrames y efectos de demanda.",Threats to validity,"Attrition, noncompliance, spillovers, and demand effects.",FALSE

17,D4-2,,,Ejercicio: presentar e interpretar resultados,Lectura de tablas y gráficos de resultados experimentales.,Exercise: presenting & interpreting results,Reading tables and graphs of experimental results.,TRUE

18,D4-3,slides/4-3-transparency_sp.pdf,,Transparencia: una introducción,"Prerregistro, datos abiertos y trabajo con socios.",Transparency: an introduction,"Pre-registration, open data, and working with partners.",FALSE

19,D4-4,,,Charla de diseño 3,Por confirmar.,Design talk 3,To be confirmed.,TRUE

20,D5-1,,forms/design-form.html,Presentaciones de participantes,Formulario de diseño de investigación para preparar la presentación del viernes.,Participant presentations,Research design form for preparing Friday's presentation.,FALSE
